node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
161 162 17 2.9646 7.6701 -4.0723 2.9117 7.8131 -4.0550 0.0471 0.1535 238.0000 23.8000 0.0000 18.0000 2.0000 
12 163 18 5.2179 3.3218 -4.9380 5.1059 2.9102 -5.8415 0.0507 0.9991 238.0000 23.8000 0.0000 9.4470 2.0000 
163 164 18 5.1059 2.9102 -5.8415 5.0343 2.5339 -6.7650 0.0507 0.9998 238.0000 23.8000 0.0000 11.0334 2.0000 
164 165 18 5.0343 2.5339 -6.7650 4.9114 2.0959 -7.6538 0.0507 0.9984 238.0000 23.8000 0.0000 12.8453 2.0000 
165 166 18 4.9114 2.0959 -7.6538 4.7900 1.6846 -8.5571 0.0507 0.9999 238.0000 23.8000 0.0000 14.9599 2.0000 
166 167 18 4.7900 1.6846 -8.5571 4.6597 1.2567 -9.4507 0.0507 0.9994 238.0000 23.8000 0.0000 17.5083 2.0000 
167 168 18 4.6597 1.2567 -9.4507 4.6410 1.1847 -9.6052 0.0507 0.1715 238.0000 23.8000 0.0000 18.0000 2.0000 
13 169 19 5.6390 3.6485 -5.1960 5.0754 4.4704 -5.1178 0.0594 0.9996 238.0000 23.8000 0.0000 9.6722 2.0000 
169 170 19 5.0754 4.4704 -5.1178 4.5195 5.2977 -5.0402 0.0594 0.9998 238.0000 23.8000 0.0000 11.2578 2.0000 
170 171 19 4.5195 5.2977 -5.0402 4.0677 6.1887 -5.0500 0.0594 0.9991 238.0000 23.8000 0.0000 13.0722 2.0000 
171 172 19 4.0677 6.1887 -5.0500 3.5817 7.0624 -5.0292 0.0594 0.9999 238.0000 23.8000 0.0000 15.1905 2.0000 
172 173 19 3.5817 7.0624 -5.0292 3.0967 7.9366 -5.0087 0.0594 1.0000 238.0000 23.8000 0.0000 17.7346 2.0000 
173 174 19 3.0967 7.9366 -5.0087 3.0517 8.0183 -5.0067 0.0594 0.0932 238.0000 23.8000 0.0000 18.0000 2.0000 
14 175 20 6.0441 3.9273 -5.4275 6.7531 3.2272 -5.3449 0.0527 0.9999 238.0000 23.8000 0.0000 9.8823 2.0000 
175 176 20 6.7531 3.2272 -5.3449 7.4752 2.5434 -5.2446 0.0527 0.9994 238.0000 23.8000 0.0000 11.4786 2.0000 
176 177 20 7.4752 2.5434 -5.2446 8.1649 1.8234 -5.2559 0.0527 0.9972 238.0000 23.8000 0.0000 13.3185 2.0000 
177 178 20 8.1649 1.8234 -5.2559 8.8689 1.1138 -5.2832 0.0527 0.9999 238.0000 23.8000 0.0000 15.4809 2.0000 
178 179 20 8.8689 1.1138 -5.2832 9.5446 0.4331 -5.2693 0.0527 0.9592 238.0000 23.8000 0.0000 18.0000 2.0000 
15 180 21 6.4098 4.1819 -5.6366 6.2548 3.7809 -6.5395 0.0433 1.0000 238.0000 23.8000 0.0000 10.0707 2.0000 
180 181 21 6.2548 3.7809 -6.5395 6.0742 3.4157 -7.4518 0.0433 0.9992 238.0000 23.8000 0.0000 11.6669 2.0000 
181 182 21 6.0742 3.4157 -7.4518 5.8826 3.0350 -8.3561 0.0433 0.9998 238.0000 23.8000 0.0000 13.5033 2.0000 
182 183 21 5.8826 3.0350 -8.3561 5.7093 2.6716 -9.2705 0.0433 0.9991 238.0000 23.8000 0.0000 15.6657 2.0000 
183 184 21 5.7093 2.6716 -9.2705 5.6133 2.3299 -10.0926 0.0433 0.8954 238.0000 23.8000 0.0000 18.0000 2.0000 
